trip_duration,start_time,stop_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,birth_year,gender
94,2017-01-31 23:48:20,2017-01-31 23:49:54,3167,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,3161,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,15475,Subscriber,1986.0,1
1258,2017-01-31 23:48:31,2017-02-01 00:09:30,330,Reade St & Broadway,40.71450451,-74.00562789,411,E 6 St & Avenue D,40.72228087,-73.97668709,26474,Subscriber,1993.0,1
1143,2017-01-31 23:48:41,2017-02-01 00:07:45,251,Mott St & Prince St,40.72317958,-73.99480012,477,W 41 St & 8 Ave,40.75640548,-73.9900262,26817,Subscriber,1980.0,1
376,2017-01-31 23:49:00,2017-01-31 23:55:16,3417,Baltic St & 5 Ave,40.6795766,-73.97854971,3404,7 St & 5 Ave,40.6704922,-73.98541675,26020,Subscriber,1957.0,2
1428,2017-01-31 23:49:11,2017-02-01 00:13:00,128,MacDougal St & Prince St,40.72710258,-74.00297088,128,MacDougal St & Prince St,40.72710258,-74.00297088,18683,Subscriber,1988.0,1
2123,2017-01-31 23:49:12,2017-02-01 00:24:36,383,Greenwich Ave & Charles St,40.735238,-74.000271,3116,Huron St & Franklin St,40.73266,-73.95826,18548,Subscriber,1984.0,1
311,2017-01-31 23:49:39,2017-01-31 23:54:50,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,19438,Subscriber,1972.0,1
285,2017-01-31 23:50:04,2017-01-31 23:54:49,504,1 Ave & E 16 St,40.73221853,-73.98165557,527,E 33 St & 2 Ave,40.744023,-73.976056,27169,Subscriber,1963.0,1
223,2017-01-31 23:50:14,2017-01-31 23:53:57,151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,128,MacDougal St & Prince St,40.72710258,-74.00297088,17853,Subscriber,1972.0,1
486,2017-01-31 23:50:15,2017-01-31 23:58:21,504,1 Ave & E 16 St,40.73221853,-73.98165557,540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,20988,Customer,,0
935,2017-01-31 23:50:17,2017-02-01 00:05:52,441,E 52 St & 2 Ave,40.756014,-73.967416,475,E 16 St & Irving Pl,40.73524276,-73.98758561,26367,Subscriber,1960.0,1
273,2017-01-31 23:50:20,2017-01-31 23:54:54,428,E 3 St & 1 Ave,40.72467721,-73.98783413,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,27282,Subscriber,1981.0,1
201,2017-01-31 23:50:33,2017-01-31 23:53:54,545,E 23 St & 1 Ave,40.736502,-73.97809472,504,1 Ave & E 16 St,40.73221853,-73.98165557,15750,Subscriber,1982.0,2
1242,2017-01-31 23:51:11,2017-02-01 00:11:54,3265,E 2 St & 2 Ave E,40.7245634290432,-73.9894437789917,482,W 15 St & 7 Ave,40.73935542,-73.99931783,24826,Subscriber,1972.0,1
290,2017-01-31 23:51:34,2017-01-31 23:56:24,446,W 24 St & 7 Ave,40.74487634,-73.99529885,523,W 38 St & 8 Ave,40.75466591,-73.99138152,25583,Subscriber,1987.0,1
215,2017-01-31 23:51:35,2017-01-31 23:55:10,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,26853,Subscriber,1977.0,1
853,2017-01-31 23:51:36,2017-02-01 00:05:49,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,3320,Central Park West & W 100 St,40.793393,-73.9635556,19871,Subscriber,1971.0,1
1133,2017-01-31 23:51:46,2017-02-01 00:10:39,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,473,Rivington St & Chrystie St,40.72110063,-73.9919254,20286,Subscriber,1984.0,1
385,2017-01-31 23:52:09,2017-01-31 23:58:34,3224,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,446,W 24 St & 7 Ave,40.74487634,-73.99529885,16280,Subscriber,1990.0,1
581,2017-01-31 23:52:15,2017-02-01 00:01:56,490,8 Ave & W 33 St,40.751551,-73.993934,513,W 56 St & 10 Ave,40.768254,-73.988639,24879,Subscriber,1984.0,1
1273,2017-01-31 23:52:18,2017-02-01 00:13:32,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,285,Broadway & E 14 St,40.73454567,-73.99074142,19133,Subscriber,1990.0,2
1283,2017-01-31 23:52:22,2017-02-01 00:13:46,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,285,Broadway & E 14 St,40.73454567,-73.99074142,19564,Subscriber,1985.0,1
1507,2017-01-31 23:52:37,2017-02-01 00:17:45,3413,Wyckoff St & 3 Ave,40.6827549,-73.98258555,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,15589,Subscriber,1991.0,1
414,2017-01-31 23:52:49,2017-01-31 23:59:43,474,5 Ave & E 29 St,40.7451677,-73.98683077,528,2 Ave & E 31 St,40.74290902,-73.97706058,25228,Subscriber,1991.0,1
863,2017-01-31 23:53:14,2017-02-01 00:07:38,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,167,E 39 St & 3 Ave,40.7489006,-73.97604882,25995,Subscriber,1975.0,1
296,2017-01-31 23:53:19,2017-01-31 23:58:16,285,Broadway & E 14 St,40.73454567,-73.99074142,491,E 24 St & Park Ave S,40.74096374,-73.98602213,25110,Subscriber,1986.0,1
669,2017-01-31 23:53:32,2017-02-01 00:04:42,355,Bayard St & Baxter St,40.71602118,-73.99974372,331,Pike St & Monroe St,40.71173107,-73.99193043,27144,Subscriber,1985.0,1
693,2017-01-31 23:54:05,2017-02-01 00:05:39,128,MacDougal St & Prince St,40.72710258,-74.00297088,504,1 Ave & E 16 St,40.73221853,-73.98165557,25782,Subscriber,1988.0,1
150,2017-01-31 23:54:40,2017-01-31 23:57:10,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,470,W 20 St & 8 Ave,40.74345335,-74.00004031,25769,Subscriber,1991.0,1
258,2017-01-31 23:54:45,2017-01-31 23:59:04,469,Broadway & W 53 St,40.76344058,-73.98268129,493,W 45 St & 6 Ave,40.7568001,-73.98291153,18030,Subscriber,1978.0,1
271,2017-01-31 23:54:46,2017-01-31 23:59:17,509,9 Ave & W 22 St,40.7454973,-74.00197139,482,W 15 St & 7 Ave,40.73935542,-73.99931783,20260,Subscriber,1988.0,1
340,2017-01-31 23:54:53,2017-02-01 00:00:33,509,9 Ave & W 22 St,40.7454973,-74.00197139,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,18426,Subscriber,1972.0,2
790,2017-01-31 23:54:53,2017-02-01 00:08:04,346,Bank St & Hudson St,40.73652889,-74.00618026,394,E 9 St & Avenue C,40.72521311,-73.97768752,18691,Subscriber,1988.0,2
256,2017-01-31 23:54:56,2017-01-31 23:59:13,128,MacDougal St & Prince St,40.72710258,-74.00297088,303,Mercer St & Spring St,40.72362738,-73.99949601,20276,Subscriber,1992.0,2
942,2017-01-31 23:55:12,2017-02-01 00:10:55,3160,Central Park West & W 76 St,40.77896784,-73.97374737,3160,Central Park West & W 76 St,40.77896784,-73.97374737,27307,Subscriber,1986.0,1
709,2017-01-31 23:55:30,2017-02-01 00:07:19,487,E 20 St & FDR Drive,40.73314259,-73.97573881,519,Pershing Square North,40.751873,-73.977706,26086,Subscriber,1996.0,1
791,2017-01-31 23:55:47,2017-02-01 00:08:58,282,Kent Ave & S 11 St,40.707644944175705,-73.96841526031494,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,15432,Customer,,0
794,2017-01-31 23:55:48,2017-02-01 00:09:02,282,Kent Ave & S 11 St,40.707644944175705,-73.96841526031494,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,24848,Customer,,0
799,2017-01-31 23:55:47,2017-02-01 00:09:07,282,Kent Ave & S 11 St,40.707644944175705,-73.96841526031494,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,25986,Customer,,0
250,2017-01-31 23:55:55,2017-02-01 00:00:06,237,E 11 St & 2 Ave,40.73047309,-73.98672378,394,E 9 St & Avenue C,40.72521311,-73.97768752,25132,Subscriber,1962.0,1
1141,2017-01-31 23:56:03,2017-02-01 00:15:05,469,Broadway & W 53 St,40.76344058,-73.98268129,487,E 20 St & FDR Drive,40.73314259,-73.97573881,18861,Subscriber,1983.0,1
1253,2017-01-31 23:56:15,2017-02-01 00:17:09,334,W 20 St & 7 Ave,40.74238787,-73.99726235,401,Allen St & Rivington St,40.72019576,-73.98997825,17538,Subscriber,1964.0,1
219,2017-01-31 23:57:23,2017-02-01 00:01:03,3309,E 97 St & 3 Ave,40.7859201,-73.94860294,3351,E 102 St & 1 Ave,40.7869946,-73.94164802,19750,Subscriber,1991.0,1
895,2017-01-31 23:57:51,2017-02-01 00:12:47,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,27128,Subscriber,1983.0,1
2213,2017-01-31 23:57:53,2017-02-01 00:34:47,383,Greenwich Ave & Charles St,40.735238,-74.000271,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,26053,Subscriber,1979.0,1
340,2017-01-31 23:59:14,2017-02-01 00:04:55,267,Broadway & W 36 St,40.75097711,-73.98765428,527,E 33 St & 2 Ave,40.744023,-73.976056,17133,Subscriber,1977.0,1
338,2017-01-31 23:59:23,2017-02-01 00:05:01,3092,Berry St & N 8 St,40.7190095,-73.95852515,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,18810,Subscriber,1972.0,1
79,2017-01-27 04:59:49,2017-01-27 05:01:08,3245,Kiosk in a box Motivate,40.64667789889786,-74.01630342006683,3245,Kiosk in a box Motivate,40.64667789889786,-74.01630342006683,24777,Subscriber,1992.0,1
711,2017-01-27 06:23:29,2017-01-27 06:35:21,3245,Kiosk in a box Motivate,40.64667789889786,-74.01630342006683,3245,Kiosk in a box Motivate,40.64667789889786,-74.01630342006683,24777,Subscriber,1992.0,1
